,value,is_anomaly,is_ignored
0,0.9078677832623427,0,1
1,0.9819965950504276,0,1
2,1.0393058634747685,0,1
3,1.1016083736841384,0,1
4,1.145605417509493,0,1
5,1.1986481333365087,0,1
6,1.2449444634536104,0,1
7,1.294099604131771,0,1
8,1.3180895655949858,0,1
9,1.3555931094721092,0,1
10,1.3953693079007707,0,1
11,1.4129447293556132,0,1
12,1.4391502524099693,0,1
13,1.4513262665093307,0,1
14,1.4853662337508622,0,1
15,1.4989301614637949,0,1
16,1.5140841224930544,0,1
17,1.524799378846458,0,1
18,1.5373831305512529,0,1
19,1.5517267218481676,0,1
20,1.5679477624361902,0,1
21,1.5817257059358962,0,1
22,1.5833782210225962,0,1
23,1.594657244983429,0,1
24,1.6003199647895012,0,1
25,1.6077320013052645,0,1
26,1.6147292251872343,0,1
27,1.6235126863595852,0,1
28,1.6132433605536898,0,1
29,1.6312991477263832,0,1
30,1.6249217526843864,0,1
31,1.6144929013027909,0,1
32,1.5832335861745026,0,1
33,1.5090410843784385,0,1
34,1.4428906909656862,0,1
35,1.3467367972097777,0,1
36,1.2546561127904245,0,1
37,1.1473991023181322,0,1
38,1.0690912979287999,0,1
39,0.9830164098969523,0,1
40,0.894951261757567,0,1
41,0.8201930282103232,0,1
42,0.7618749177739215,0,1
43,0.6904995410355611,0,1
44,0.6392164022723813,0,1
45,0.5825276652670232,0,1
46,0.5297866422968157,0,1
47,0.4952703008477352,0,1
48,0.4522448892772433,0,1
49,0.40478859995873173,0,1
50,0.3640423733224006,0,1
51,0.33782799636649874,0,1
52,0.3110391373012471,0,1
53,0.29106388161395375,0,1
54,0.27309049302716276,0,1
55,0.23864891269107194,0,1
56,0.22707261345654675,0,1
57,0.20574993843707767,0,1
58,0.19140278666927357,0,1
59,0.16574818329112206,0,1
60,0.15720359367940634,0,1
61,0.1418370209415278,0,1
62,0.13327390838131847,0,1
63,0.12824654761408769,0,1
64,0.1262034131764816,0,1
65,0.11535384261740327,0,1
66,0.12585484748590922,0,1
67,0.15655417191296062,0,1
68,0.21699456459593114,0,1
69,0.3080887484329739,0,1
70,0.4180342813191006,0,1
71,0.5506527288985947,0,1
72,0.6608207663146516,0,1
73,0.7619820012181625,0,1
74,0.8451328877343428,0,1
75,0.9042926246466253,0,1
76,0.9626508780872587,0,1
77,0.9827316896562307,0,1
78,1.0038543773505915,0,1
79,1.0102579243902068,0,1
80,1.0058695002304927,0,1
81,0.9847296730143762,0,1
82,0.987567767027196,0,1
83,0.9641339019086159,0,1
84,0.924552242767899,0,1
85,0.8976641596196325,0,1
86,0.871436960043593,0,1
87,0.846755106009278,0,1
88,0.8150769407796455,0,1
89,0.7667116816915821,0,1
90,0.7388588642076637,0,1
91,0.709899213010111,0,1
